Year,Temperature
1951,26.45833333333334
1952,26.34166666666667
1953,26.541666666666668
1954,26.441666666666666
1955,26.175
1956,26.24166666666667
1957,26.45
1958,26.341666666666665
1959,26.21428571428571
1960,25.8
1961,26.491666666666664
1962,26.141666666666666
1963,25.99166666666667
1964,26.40833333333333
1965,26.366666666666664
1966,26.754545454545454
1967,26.670000000000005
1968,25.55
1969,26.64166666666667
1970,26.950000000000003
1971,25.75
1972,
1973,25.3
1974,26.466666666666665
1975,26.7
